Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.201111793518066,0.6392537752787272,306556.27155303955,[-1.5240884]
4.100945234298706,0.6296155320273505,306998.94523620605,[-1.5115439]
4.121312141418457,0.7604870398839315,303132.3890686035,[-1.7797176]
4.096474885940552,0.8182024955749512,302898.0312347412,[-1.8703547]
4.232589960098267,1.1485501792695787,292513.13304901123,[-2.5211325]
4.28958797454834,1.0075675778918796,298681.5824508667,[-2.253172]
4.157433032989502,0.7580420176188151,302514.7485733032,[-1.7515231]
4.127646207809448,0.6413627200656467,306874.059677124,[-1.5658504]
4.081171035766602,0.7344752417670356,312006.80351257324,[-1.7415147]
4.122060775756836,0.7569014363818698,303375.23555755615,[-1.7234231]
4.123330116271973,0.9102488093905978,300302.03914642334,[-2.0562632]
4.15543794631958,0.6767607794867622,306510.54191589355,[-1.591746]
4.309450149536133,0.617869085735745,306756.3524246216,[-1.4609846]
4.363862752914429,0.5318258470959134,315640.9969329834,[-1.311447]
4.307373762130737,0.6801551977793375,309922.85442352295,[-1.6284043]
4.162590980529785,0.6268112394544814,310096.5299606323,[-1.4856404]
4.210978031158447,0.7668535047107272,305313.50898742676,[-1.7272605]
3.93192195892334,0.6754860215716891,310786.2100601196,[-1.5754153]
4.036579132080078,0.6627608802583482,307246.10137939453,[-1.5702419]
3.8906853199005127,0.8492622772852579,306176.46980285645,[-1.8902448]
4.075350046157837,0.8290662235683866,305028.99169921875,[-1.8718209]
4.087086200714111,0.698144621319241,309218.48487854004,[-1.6134342]
4.287182092666626,0.8248816066318088,305152.96840667725,[-1.8580233]
4.225444078445435,0.6407567924923367,310086.3857269287,[-1.5336825]
4.176488876342773,0.6667622195349799,306766.16764068604,[-1.5681294]
4.138252019882202,0.7404758532842001,303333.24909210205,[-1.700688]
4.280745983123779,0.881295296880934,301257.0505142212,[-1.9698272]
4.14571475982666,0.6040370994144015,313102.70977020264,[-1.4322017]
4.176029920578003,0.6733265982733833,307487.5192642212,[-1.5963682]
4.122372150421143,0.7129342291090224,309149.0888595581,[-1.6384622]
4.148253917694092,0.648004240459866,312965.6038284302,[-1.5399661]
4.191586017608643,0.745778759320577,306488.56258392334,[-1.7314209]
4.419229984283447,0.8488153616587321,306668.8184738159,[-1.9275819]
4.0498130321502686,0.9711523983213637,308524.2977142334,[-2.181347]
4.068075895309448,0.8087818092770047,304857.2025299072,[-1.865842]
4.356360912322998,0.8433555099699233,304882.8945159912,[-1.9356489]
4.139304876327515,0.7504398557874892,308886.87896728516,[-1.732892]
4.141802072525024,0.8437912596596612,302078.31382751465,[-1.9185529]
4.141611814498901,1.069474114312066,300273.49758148193,[-2.3357055]
4.119111061096191,0.8859955072402954,299748.2023239136,[-1.9960017]
4.153266906738281,0.9096011055840386,305119.85874176025,[-2.0429332]
3.9076552391052246,0.8140135208765665,307315.62757492065,[-1.8473825]
3.9439480304718018,0.8467862606048584,302598.33908081055,[-1.9178232]
3.967128038406372,0.6980303525924683,305452.69298553467,[-1.6496013]
4.250643014907837,0.62391021516588,313289.8645401001,[-1.5291343]
4.292600154876709,0.7189173698425293,301561.31649017334,[-1.6708254]
4.013412714004517,0.7100331783294678,306923.62785339355,[-1.6697869]
3.9119176864624023,0.6964061260223389,304000.1268386841,[-1.6395684]
3.932957887649536,1.022914104991489,297103.9009094238,[-2.2643895]
3.9267148971557617,0.8914678494135538,299985.72063446045,[-2.0097644]
3.9717600345611572,0.8052863677342733,303002.6388168335,[-1.840057]
4.026137828826904,1.250399390856425,288414.005279541,[-2.6965964]
